claim_id,policy_id,customer_id,age,gender,region,policy_type,premium,claim_amount,claim_date,accident_type,vehicle_age,has_previous_claims,claim_status,hospital_visits,settlement_amount,fraud_flag,description
CLM504866,POL100038,CUST201486,52,Male,NAIROBI,N/A,18618.24,34371.02,22-09-2021,unknown,0,,Settled ,0,33854.16,yes,customer reports theft
CLM501550,POL101155,CUST200598,37,M,naivasha,Fire & Theft,9339.04,28180.84,16-12-2018,Unknown,4,no,Closed,0,19281.94,No,Rear ended on highway
CLM508315,POL100767,CUST201258,23,male,Naivasha,Third party,15486.28,32536.01,"Apr 24, 2022",Fire,4,1,Settled ,0,23750.24,,Rear ended on highway
CLM502367,POL100779,CUST200197,50,Unknown,nairobi,Fire & Theft,22008.37,3228.75,2020/08/28,unknown,7,yes,Closed,3,N/A,0,Claim for water damage (flood)
CLM503300,POL100227,CUST200305,37,Unknown,Naivasha,fire & theft,6387.13,12163.45,2019/05/21,theft,5,Yes,Settled,0,4206.67,0,Claim for water damage (flood)!!
CLM506638,POL101034,CUST201079,41,Male,mombasa,Comprehensive ,22330.47,18060.16,2018/11/29,Unknown,2,,Settled,1,16819.37,1,customer reports theft
CLM503103,POL101076,CUST202206,44,FEMALE,Nakuru,Comprehensive ,11363.59,41814.15,2019/01/03,Side-impact,4,No,Rejected,1,5022.63,1,Minor bumper damage
CLM501032,POL101046,CUST202327,24,male,Nairobi ,Fire & Theft,27289.25,139981.3,03-01-2023,Slip,5,yes,closed,2,86617.88,yes,Small scratch while parking
CLM511729,POL100230,CUST200910,40,,Mombasa,Third-Party,23765.76,16990.02,2020/10/13,Side-impact,4,No,Settled ,0,7830.03,yes,Small scratch while parking
CLM511872,POL100712,CUST202529,41,FEMALE,Eldoret,Comprehensive ,15375.63,6450.94,30-09-2023,Unknown,0,,pending,1,N/A,1,customer reports theft
CLM500604,POL100969,CUST200857,39,FEMALE,nairobi,Third-Party,29844.03,170181.13,"Jan 10, 2019",Head-on,3,1,Rejected,0,64275.12,Yes,Vehicle theft reported
CLM510800,POL100757,CUST201007,46,F,Coast,Comprehensive ,23059.26,42233.86,2020/08/20,Fire,10,0,Settled,0,N/A,0,Minor bumper damage
CLM505399,POL101100,CUST201442,42,Male,Nakuru,Fire & Theft,28586,39423.66,"Oct 04, 2018",Fire,4,,pending,2,30920.68,Yes,duplicate submission
CLM510930,POL100199,CUST201196,48,M,Eldoret,Fire & Theft,20088.86,25642.04,2018/08/12,rollover,5,0,Open,0,16000.23,1,customer reports theft
CLM510360,POL101049,CUST200891,43,,Naivasha,Comprehensive ,20390.39,385.23,2021/12/24,Side-impact,5,yes,Settled ,2,275.66,,Major collision - multiple injuries
CLM511723,POL100127,CUST201407,26,,Naivasha,Comprehensive,22490.7,160989.8,11-09-2024,Head-on,6,Yes,Settled,0,135425.43,1,Slip and fall - claim for medical
CLM502862,POL100057,CUST200062,66,male,mombasa,Third-Party,20584.39,35172.28,2019/11/22,unknown,5,yes,Open,1,26807.23,0,Vehicle theft reported
CLM511163,POL100062,CUST202551,35,Male,Coast,Third party,18450.06,12076.29,"Oct 07, 2020",Fire,2,,Open,2,8355.24,Yes,Small scratch while parking
CLM508413,POL101091,CUST201709,66,, coast,Third-Party,17210.36,354213.97,"Oct 17, 2021",theft,3,no,Closed,1,235921.08,no,customer reports theft!!
CLM500324,POL100112,CUST202108,28,F,nairobi,Comprehensive,1000,17134.58,2023/03/22,Head-on,12,no,closed,0,14682.98,yes,customer reports theft
CLM500184,POL100964,CUST200524,41,M,naivasha,fire & theft,24649.23,25759.57,"Jan 20, 2020",Side-impact,4,1,Settled,0,20098.61,,Small scratch while parking
CLM505021,POL100596,CUST201600,38,Unknown,Mombasa,fire & theft,10530.74,41131.57,18-05-2021,unknown,1,no,Open,3,41131.57,No,Major collision - multiple injuries
CLM506570,POL101226,CUST200628,39, ,eldoret,Comprehensive ,9055.14,5253.17,"Nov 02, 2020",theft,6,1,Settled,2,3485,no,Claim for water damage (flood)
CLM501666,POL100061,CUST200523,41,F,nairobi,Fire & Theft,16616.6,19936.97,"Nov 17, 2023",Rear-end,10,No,pending,1,7681.2,Yes,Slip and fall - claim for medical
CLM507302,POL100389,CUST201184,36,male,Nairobi ,Comprehensive,7025.66,1331.78,2020/12/16,Side-impact,3,no,Settled ,0,N/A,No,duplicate submission
CLM509390,POL100709,CUST200179,38,M,Nakuru,Comprehensive,27492.62,34341.94,14-06-2024,Head-on,5,0,pending,0,N/A,No,Slip and fall - claim for medical
CLM511254,POL100382,CUST201412,50,F,mombasa,Comprehensive ,17338.44,38882.24,2021/10/18,unknown,2,1,pending,1,31764.87,,customer reports theft
CLM506052,POL100972,CUST200599,32,FEMALE,,Third-Party,15393.17,52331.71,"Apr 26, 2020",Head-on,9,Yes,Open,1,37126.4,0,Vehicle theft reported
CLM500749,POL101058,CUST202011,41,FEMALE,nakuru,Third party,19934.09,92714.52,2018/06/13,Side-impact,5,no,Closed,0,81046.34,0,Major collision - multiple injuries
CLM501493,POL100962,CUST201841,37,Female,Coast,Comprehensive ,8624.11,21858.6,"Mar 04, 2023",Fire,6,Yes,Closed,0,18567.31,1,duplicate submission
CLM510877,POL100049,CUST202313,47,male,Nakuru,Third party,25078.75,24871.92,"Aug 31, 2023",theft,0,no,Open,1,16556.31,Yes,Unknown cause
CLM501898,POL101106,CUST200933,48,Female, coast,Comprehensive,1000,285.72,09-02-2024,Slip,4,yes,pending,0,232.7,No,Unknown cause
CLM503199,POL100613,CUST201519,33,M, coast,Third party,6281.58,29779,"May 29, 2022",Fire,5,1,Settled,1,8223.16,yes,Major collision - multiple injuries
CLM501315,POL100384,CUST200596,34,M,Eldoret,Third party,7944.31,1640.72,"Jan 19, 2019",rollover,6,0,Settled ,2,1602.39,,Rear ended on highway
CLM502858,POL100572,CUST200694,35,FEMALE,nairobi,Fire & Theft,12527.46,14027.34,"May 14, 2024",Head-on,4,Yes,Settled ,2,8500.44,,Major collision - multiple injuries
CLM500855,POL100815,CUST201926,47,male,Mombasa,Fire & Theft,1000,9977.96,2023/08/09,Head-on,2,0,Open,1,7022.9,no,Vehicle theft reported
CLM508853,POL101274,CUST201569,23,Unknown,nairobi,fire & theft,12474.74,20892.19,2022/01/19,Unknown,5,No,Rejected,2,14930.05,yes,Slip and fall - claim for medical
CLM511059,POL100979,CUST201921,29,Male,Kisumu,Fire & Theft,22324.41,14943.8,"May 12, 2023",rollover,1,Yes,Open,0,7688.48,no,Claim for water damage (flood)
CLM509337,POL100662,CUST200246,25,F,nairobi,Third-Party,18400.84,16202.46,12-08-2020,rollover,2,yes,Settled,1,3306.73,Yes,Fire damage in engine!!
CLM505496,POL100860,CUST200330,36,FEMALE,Nairobi ,Third party,17380.32,2619.33,"Jan 22, 2018",theft,6,no,Open,1,2012.41,No,duplicate submission
CLM511388,POL101269,CUST200729,41,Male,naivasha,Comprehensive ,13878.64,40339.28,"May 03, 2024",Side-impact,7,no,Closed,1,N/A,0,Fire damage in engine
CLM511835,POL100179,CUST200868,27,male,Nakuru,Third-Party,10296.15,42644.36,04-09-2021,Unknown,0,0,pending,0,40345.36,No,Slip and fall - claim for medical
CLM509358,POL100285,CUST201647,34,Male,naivasha,Fire & Theft,23116.8,2080.15,2024/07/26,Head-on,6,No,Closed,1,1700.99,,duplicate submission
CLM500689,POL101140,CUST200242,23,F,Nairobi ,Third-Party,23431.13,2082.16,08-12-2023,rollover,5,No,Settled,1,N/A,yes,Claim processing - awaiting docs
CLM504817,POL100885,CUST201933,31,Female,Naivasha,Comprehensive,16110.93,334.5,2024/02/04,Side-impact,4,,Settled,1,202.44,yes,Unknown cause
CLM502404,POL101034,CUST200058,39,M,Coast,Third-Party,26226.89,29432.09,23-09-2019,Rear-end,4,Yes,Settled ,1,13659.1,No,Fire damage in engine
CLM507959,POL101183,CUST200470,35,M,Nakuru,Third party,19024.7,33738.76,16-02-2019,Rear-end,6,1,closed,1,26890.92,1,Fire damage in engine
CLM504648,POL100872,CUST200086,49,,Kisumu,Comprehensive ,11262.36,4197.55,"Aug 31, 2020",unknown,8,no,Open,2,2628.32,No,Fire  damage  in  engine
CLM500338,POL100616,CUST201111,24,F,Nairobi ,fire & theft,7348.51,27086.09,12-08-2019,unknown,9,Yes,Settled,1,20886.7,No,Fire damage in engine
CLM502750,POL101009,CUST201459,51,Female,Naivasha,Comprehensive ,11963.69,19982.76,02-01-2020,Fire,7,no,closed,1,9991.06,,Fire damage in engine
CLM510178,POL100969,CUST200682,42,F,Nairobi ,fire & theft,22188.36,11627.81,2022/11/24,Unknown,3,yes,Closed,2,4241.97,1,Small scratch while parking
CLM505138,POL100841,CUST201977,26,FEMALE,Nakuru,Third party,21262.98,174152.02,2018/02/17,Side-impact,7,0,Closed,1,98747.98,no,Claim for water damage (flood)
CLM506754,POL100441,CUST200237,67,M,Mombasa,Fire & Theft,7534.63,14389.34,2023/04/26,theft,9,yes,pending,1,12099.2,0,Unknown cause
CLM506116,POL100433,CUST202137,43,M,Kisumu,Comprehensive ,12860.51,15600.22,2023/04/18,unknown,0,,Settled ,0,13192,1,Claim processing - awaiting docs
CLM501045,POL100084,CUST201351,21,,Kisumu,Comprehensive ,2901.62,8054.38,"Mar 07, 2024",Unknown,6,Yes,Settled ,0,4956.99,0,Claim for water damage (flood)
CLM505266,POL101221,CUST202543,48,F,NAIROBI,Third-Party,1000,10146.06,2021/09/07,theft,7,Yes,Settled ,3,7333.64,no,Minor bumper damage
CLM503774,POL100777,CUST201709,27,Male,Nairobi ,Comprehensive,30112.4,41558.76,"Oct 11, 2021",rollover,0,0,Open,0,33673.96,0,Major collision - multiple injuries
CLM509187,POL100045,CUST200609,34,F,Nairobi ,Third party,3953.9,32528.31,"Aug 28, 2024",unknown,5,no,Open,1,30392.43,Yes,Fire damage in engine
CLM509220,POL101094,CUST200361,25,M,naivasha,Fire & Theft,6483.72,38842.71,2020/10/05,Unknown,9,no,Closed,1,26919.01,Yes,duplicate submission
CLM508588,POL101164,CUST201857,41,male,eldoret,Comprehensive,6852.82,112705.14,2020/01/21,Slip,6,No,closed,1,91526.94,no,Small scratch while parking
CLM505150,POL100230,CUST201071,60,Male, coast,Third party,8935.37,27811.33,,Rear-end,2,,pending,0,27811.33,0,Unknown cause
CLM500967,POL100229,CUST202060,51,Unknown,mombasa,fire & theft,9948.78,20787.9,"Mar 03, 2024",rollover,2,yes,pending,0,16050.1,No,Minor bumper damage
CLM505996,POL100627,CUST200565,22,male,nairobi,Comprehensive ,28597.32,8773.41,2022/08/04,Head-on,5,0,Open,0,2594.12,no,Slip and fall - claim for medical
CLM501367,POL101117,CUST201271,36,FEMALE,Mombasa,Comprehensive,12792.83,1633.97,2024/01/03,theft,6,1,Open,1,931.86,no,Major collision - multiple injuries
CLM511447,POL100793,CUST201368,28,,nairobi,fire & theft,7711.95,24887.11,2021/04/01,Unknown,4,Yes,Settled,2,5540.42,Yes,Rear ended on highway
CLM506350,POL100789,CUST202382,38,Female,Mombasa,Fire & Theft,16495.55,114862.26,2019/06/15,Head-on,2,1,Closed,1,65466.19,no,Vehicle theft reported
CLM502927,POL100410,CUST202245,45,F,mombasa,Fire & Theft,22167.48,48656.36,14-01-2020,unknown,3,1,Settled ,0,48656.36,1,customer reports theft
CLM507981,POL100371,CUST200703,47,Female,mombasa,Fire & Theft,11204.55,56495.54,29-06-2023,Rear-end,5,No,Closed,2,45396.7,No,Claim processing - awaiting docs
CLM502803,POL100243,CUST200574,35,Male,nakuru,Comprehensive,16558.71,9543.82,"Mar 14, 2018",theft,4,,Settled,1,5272.72,No,duplicate submission
CLM502890,POL101126,CUST202472,24,,nakuru,Third party,28016.94,249658.05,"Dec 16, 2020",Side-impact,5,no,Settled,2,176455.21,0,Unknown cause
CLM500463,POL100771,CUST201749,42,FEMALE,nairobi,Comprehensive,18593.75,12352.9,25-04-2023,Rear-end,5,0,closed,1,9767.46,yes,Unknown cause
CLM505927,POL100340,CUST202457,47,Male, coast,Comprehensive ,17236.58,27953.54,28-04-2018,unknown,1,Yes,Settled ,1,25924.63,yes,Minor bumper damage
CLM502325,POL101015,CUST202148,42,F,Eldoret,Third-Party,12719.39,10274.88,"Feb 06, 2021",Slip,4,0,closed,3,4458.7,,Claim for water damage (flood)
CLM501034,POL100553,CUST201000,44,Female,eldoret,Comprehensive ,20621.28,23613.15,2021/12/26,Slip,3,,Settled ,2,17208.15,no,Claim processing - awaiting docs
CLM507102,POL101063,CUST202222,36,FEMALE,Kisumu,fire & theft,1000,33424.75,2021/02/16,rollover,0,,closed,1,19174.61,yes,Minor bumper damage
CLM511794,POL100869,CUST201446,30,FEMALE,Nairobi ,Third party,20418.34,20585.58,2020/10/09,Head-on,8,no,closed,0,19095.9,1,Small scratch while parking
CLM501228,POL100136,CUST202103,43,Unknown,naivasha,Third party,30784.84,214915.03,2023/11/11,unknown,3,yes,Settled ,2,150299.78,,Claim processing - awaiting docs
CLM508032,POL100938,CUST200850,24,Unknown,Naivasha,Fire & Theft,16802.22,39955.85,2022/02/23,Slip,11,No,Settled ,3,27632.84,no,Claim processing - awaiting docs
CLM500504,POL100959,CUST201955,29,F,Naivasha,Comprehensive ,26345.92,3832.28,08-04-2022,rollover,0,no,Rejected,0,2226.48,0,Vehicle theft reported
CLM501807,POL100391,CUST201305,40,Female,Kisumu,Comprehensive ,8954.59,3956.6,"Aug 22, 2018",Rear-end,4,No,Rejected,0,3460.49,no,Claim for water damage (flood)
CLM501259,POL100511,CUST200842,26,FEMALE,Mombasa,Third-Party,16626.83,199958.07,12-02-2021,rollover,5,1,Settled ,1,141518.42,1,Minor bumper damage
CLM507994,POL100982,CUST202311,24,male,nakuru,Comprehensive ,13445.25,22152.93,2019/02/11,Slip,3,Yes,Settled ,1,11327.91,Yes,Rear ended on highway
CLM501051,POL100208,CUST200680,35,Male,nairobi,Comprehensive ,15085.09,<40,"Jan 28, 2020",Side-impact,0,no,Settled ,1,,,duplicate submission
CLM509234,POL100667,CUST200635,39,,mombasa,Fire & Theft,12857.86,12004.75,2024/03/04,rollover,9,,closed,0,3674.93,,Claim  processing  -  awaiting  docs
CLM500032,POL100084,CUST201422,32,Unknown,Naivasha,Third party,17435.59,23858.11,29-10-2021,Slip,5,,Rejected,2,20861.12,Yes,duplicate submission
CLM510655,POL100740,CUST200074,21,Female,nakuru,fire & theft,28692.1,224320.09,"May 16, 2019",Side-impact,5,1,Rejected,1,126377.92,1,Major collision - multiple injuries
CLM505158,POL100324,CUST200189,29,male,mombasa,Third-Party,6506.48,11481.34,06-03-2021,Head-on,2,Yes,Settled,1,7978.84,0,Vehicle theft reported
CLM505950,POL101277,CUST202119,33,,Coast,Comprehensive ,9029.21,29452.87,"Aug 24, 2018",unknown,4,1,Closed,1,21636.15,no,Slip and fall - claim for medical
CLM508303,POL100086,CUST202314,18,,nairobi,Fire & Theft,10490.26,46157.44,01-07-2019,Slip,9,No,Rejected,0,31581.13,,Rear ended on highway
CLM509883,POL100015,CUST200504,30,Unknown,Coast,Fire & Theft,5836.32,11373.97,"Jan 27, 2019",Slip,3,No,Rejected,2,N/A,,Unknown cause
CLM508444,POL100140,CUST202029,42,Male,nairobi,Third-Party,17830.55,7294.1,2021/07/26,Rear-end,6,no,Settled ,1,7294.1,1,customer reports theft
CLM511648,POL100124,CUST201437,37,FEMALE,Mombasa,Comprehensive ,10119.8,233875.16,05-11-2022,Slip,0,0,Open,0,190350.82,Yes,Unknown cause
CLM511315,POL100377,CUST200509,46,M,,Comprehensive ,16859.7,27981.64,2022/07/13,Side-impact,4,Yes,Open,1,16409.22,,Unknown cause!!
CLM504306,POL101151,CUST200665,25,FEMALE,Kisumu,fire & theft,18508.37,35093.52,08-11-2023,Slip,7,yes,Rejected,1,N/A,yes,Claim processing - awaiting docs
CLM506698,POL100590,CUST201237,35,Male,Nairobi ,Comprehensive,11521.48,30457.24,29-12-2020,rollover,2,0,Rejected,0,20408.73,yes,duplicate  submission
CLM510562,POL100418,CUST200554,48,Male,mombasa,Comprehensive,3730.9,16486.85,2022/08/03,unknown,3,yes,Settled,2,14039.86,yes,Slip and fall - claim for medical
CLM504282,POL100381,CUST200727,73,Female,Eldoret,Third party,18704.77,28033.31,27-12-2023,Rear-end,7,0,Settled,2,N/A,,Unknown cause
CLM506410,POL101087,CUST202036,41,Female,Mombasa,Comprehensive ,31788.09,33193.41,2024/01/30,Side-impact,7,Yes,Closed,0,32527.06,no,Fire damage in engine
CLM510438,POL100384,CUST201481,32,F,Nairobi ,Third-Party,7017.95,28661.34,"Nov 09, 2021",Head-on,5,0,Settled ,2,13315.77,no,Unknown  cause
CLM509740,POL100656,CUST201391,18,Unknown,Naivasha,fire & theft,17350.42,379041.01,24-08-2018,Unknown,3,no,closed,0,250868.53,yes,Rear ended on highway
CLM501699,POL100578,CUST201420,29,FEMALE,Nakuru,Third-Party,7120.43,18292.63,"May 15, 2021",Head-on,6,1,pending,0,10485.36,No,duplicate submission
CLM510440,POL100471,CUST200295,47,male,nakuru,Comprehensive,23055.42,32037.19,"Jun 29, 2021",rollover,0,no,Closed,0,21421.12,no,Claim processing - awaiting docs
CLM506211,POL100338,CUST200652,50,Unknown,nakuru,fire & theft,14058.62,65492.28,2020/01/25,Fire,2,No,Open,0,47209.15,No,Slip and fall - claim for medical
CLM508549,POL100421,CUST200155,36,Male,NAIROBI,Comprehensive,18233.45,287161.88,22-02-2018,Unknown,0,1,Settled,0,189022.54,no,Claim  processing  -  awaiting  docs
CLM510242,POL100820,CUST200959,48,male,NAIROBI,Third-Party,15247.14,47391.21,2023/11/09,Rear-end,2,yes,Settled ,0,31027.26,No,Claim for water damage (flood)
CLM506288,POL100854,CUST201796,54,M,nairobi,Comprehensive,19383.7,6161.22,2019/12/08,Head-on,2,no,Closed,4,3440.16,,Minor bumper damage
CLM502597,POL100558,CUST200688,46,male,nairobi,Comprehensive ,22405.96,41354.98,"Mar 10, 2018",Side-impact,8,yes,Closed,2,32403.08,No,Fire damage in engine
CLM509901,POL100877,CUST202510,51,Unknown,Nakuru,Fire & Theft,11579.47,40370.56,"Jul 31, 2018",Head-on,2,,Settled ,3,29419.71,,Fire damage in engine
CLM504745,POL100253,CUST201293,29,FEMALE,naivasha,fire & theft,18224.23,6347.52,"May 25, 2022",rollover,5,no,closed,1,5015.8,No,Claim processing - awaiting docs
CLM508341,POL100379,CUST201891,18,F,NAIROBI,Comprehensive,26788.31,251062.1,2020/03/11,theft,1,Yes,Rejected,1,234055.8,Yes,Claim processing - awaiting docs
CLM510955,POL100757,CUST200413,44,Male,eldoret,Third-Party,7519.55,27811.98,2019/01/20,Rear-end,5,no,Open,1,26851.47,No,Rear ended on highway
CLM508926,POL100743,CUST200160,35,Male, coast,Third party,14463.1,168165.37,2018/11/18,rollover,5,No,Settled,0,130398.99,,Fire damage in engine
CLM502880,POL100418,CUST200593,45,,Nairobi ,Comprehensive,23477.59,2853.63,15-07-2024,Head-on,3,No,Settled ,3,2684.21,,Small scratch while parking
CLM501172,POL100332,CUST201531,57,Female,Nakuru,fire & theft,9121.51,988.42,2019/01/04,theft,0,No,Settled,0,685.81,1,Claim for water damage (flood)
CLM509397,POL100110,CUST202351,43,FEMALE,Nairobi ,Third party,19732.07,733.31,2020/07/22,Rear-end,6,,Settled ,1,651.63,1,duplicate submission
CLM508321,POL100544,CUST202318,54,F,Kisumu,Comprehensive ,15281.77,12185.22,2020/03/09,Side-impact,0,yes,closed,2,9799.12,0,Claim processing - awaiting docs
CLM504686,POL101228,CUST200221,24,male,NAIROBI,Third party,5010.49,59927.89,2022/04/04,theft,6,1,pending,1,44677.91,Yes,duplicate submission
CLM511384,POL100613,CUST200220,42,,,Fire & Theft,8521.67,75052.34,"Mar 21, 2018",Unknown,6,,Settled,0,N/A,Yes,duplicate  submission
CLM501660,POL101064,CUST200945,63,,Mombasa,Third-Party,16732.44,3583.46,,theft,4,0,Open,0,3583.46,1,customer reports theft
CLM502961,POL101056,CUST200877,23,male,Kisumu,fire & theft,28007.82,33013.69,"Sep 02, 2024",Head-on,9,no,Closed,0,7700.35,1,Minor bumper damage
CLM500174,POL100808,CUST200142,41,FEMALE,Nairobi ,Fire & Theft,13615.43,20233.69,"Nov 16, 2019",Head-on,1,0,Rejected,1,N/A,no,Unknown cause
CLM504838,POL101040,CUST201077,36,F,naivasha,Comprehensive,11623.14,19827.3,2022/01/22,Unknown,4,no,Settled ,0,15928.52,yes,Slip and fall - claim for medical
CLM507672,POL100328,CUST201970,39,M,naivasha,Third-Party,6486,20562.5,30-03-2024,Rear-end,11,,closed,1,N/A,1,Fire damage in engine
CLM510512,POL100588,CUST200157,61,male,Nakuru,Comprehensive ,1000,13218.36,"May 21, 2021",rollover,6,0,Settled ,2,5883.43,,Small scratch while parking
CLM511043,POL100042,CUST201856,36,Unknown,mombasa,Comprehensive,18483.68,14881.98,"Jan 21, 2023",Side-impact,5,No,Closed,2,11056.88,Yes,Claim processing - awaiting docs
CLM504739,POL100719,CUST200982,31,Male,Nairobi ,fire & theft,7013.08,18142.62,2022/07/07,rollover,2,yes,Rejected,3,15163.91,Yes,Slip and fall - claim for medical
CLM508155,POL101015,CUST201732,40,male,mombasa,Third-Party,9220.58,17827.73,"Dec 18, 2023",unknown,9,no,Open,0,10191.71,no,Slip and fall - claim for medical
CLM502254,POL100742,CUST201875,28,Female,naivasha,Third-Party,12268.27,25007.56,2023/05/07,Rear-end,6,Yes,Open,2,15315.52,Yes,Claim  processing  -  awaiting  docs
CLM504955,POL100059,CUST200342,68,,nakuru,Third-Party,13267.77,27302.15,2020/05/20,Unknown,8,no,Rejected,0,15889.96,,Vehicle theft reported
CLM505601,POL100639,CUST200854,31,F,nairobi,fire & theft,24493.36,17288.48,"Mar 23, 2018",theft,2,,Open,0,11209.63,0,Rear ended on highway
CLM505647,POL100006,CUST200057,33,male,naivasha,fire & theft,24465.55,3697.23,2022/10/02,Slip,2,no,closed,0,2376.26,Yes,Slip and fall - claim for medical
CLM500860,POL100481,CUST201761,22,M,Coast,fire & theft,15604.61,244397.77,11-10-2019,Rear-end,4,,Settled,1,208965.72,yes,customer reports theft
CLM506828,POL100947,CUST202263,41,Unknown,mombasa,Comprehensive ,1000,14583.25,"Apr 11, 2018",unknown,6,yes,Rejected,2,14583.25,No,Claim for water damage (flood)
